trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,2,-89.52239292662907,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,3,-79.42384073500943,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-62.284306489458295,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-27.983719985976368,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,1,3.899281583076813,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-28.98459285763106,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-2.0130402416422606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,5,-52.538146751249236,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",25,0,-112.60353201672028,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,3.5352286198545055,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,9,-13.698409128204025,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,6,-31.52205994547246,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,12,-64.6906643877623,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,0,-126.13538251852941,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",30,0,-67.03171733882336,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-46.82028542943532,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-80.16189368456449,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.559898366565402}",25,0,-101.9838067766847,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,7,-63.50019743935635,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,0,-51.67631425424809,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,6,5.389340535046983,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,11,-35.62675591709869,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,16.753262055498226,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,3,-120.12032024575345,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",20,12,12.506213113956413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,1,-71.20444804500964,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",30,0,-20.654676334809682,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,0,-49.093637031533085,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,0,-128.78138531885583,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-16.69990602136061,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-80.15911982061422,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,4,-16.37864511231319,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-39.570809459570214,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",25,11,4.688709261934486,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-8.822698737791669,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",30,0,-17.068452751523957,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,19,17.005833710926517,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,21.55022885252335,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,0,24.335006128371276,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-8.664001632005284,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-80.48161160636313,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",30,17,17.875007305351957,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,0,12.731523238934361,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,11.705036921347444,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,14,-2.5347895813524,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",25,17,-48.991143064118155,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,7,9.378662709838453,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,-37.30663722074801,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,0,-25.650981086425702,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",30,2,2.3566301518350836,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",35,12,-9.855000929509094,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,0,-37.45464798386449,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,5,-66.55552284723531,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,0,6.722259462374721,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,8,-8.752315692029754,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,0,-65.51682111567244,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
